PROJECT,IPT,RESP,WBS ID,DESCRIPTION,CEC,COMPANY,PERF,MILSTD,CLIN,CHARGE #,YYYYMM,BCWS HRS/UTS,BCWP HRS/UTS,ACT HRS/UTS,ETC HRS/UTS,E
EMDLBRF,HBG,HBX,121-06HBG1,ASIP FORCE MGMT-LBR,SUST,,,,,LX806HBG1,201209,,,,90.47,L
EMDLBRF,HBX,HBX,12151A-811H00F4,V-TAIL & AFT FUSELAGE,MOD,,,,,LX812151A,201103,,,,0,L
EMDLBRF,HBD,HBX,12215A-811H00F2,V-TAIL SPAR PRODUCIBILITY,SP2B,,,,,LX812215A,201111,,,,0,L
EMDLBRF,HBX,HBX,12218A-811H00F4,SPAR FITTING SLIP FIX KIT,SP2B,,,,,LX812218A,201109,,,,0,L
EMDLBRF,HDX,HDX,12218A-813H00F2,SPAR FITTING SLIP FIX KIT,SP2B,,,,,LX812218A,201109,,,,0,L
EMDLBRF,HDX,HDX,122RWK-813H000U,12 FUSE REWORK,SP2B,,,,,LX8122RWK,201111,,,,0,L
EMDLBRF,HEX,HEX,12316A-3J4G,DUAL MOTOR ACTUATOR-LBR,SP2B,,,,,LX812316A,201105,,,,0,L
EMDLBRF,HEX,HEX,12316A-3J4G,DUAL MOTOR ACTUATOR-LBR,SP2B,,,,,LX812316A,201106,,,,2,L
EMDLBRF,HEX,HEX,12316A-3J4G,DUAL MOTOR ACTUATOR-LBR,SP2B,,,,,LX812316A,201107,,,,2,L
EMDLBRF,HEX,HEX,12316A-818H000J,DUAL MOTOR ACTUATOR-LBR,SP2B,,,,,LX812316A,201101,,,,40,L
EMDLBRF,HEX,HEX,12316A-818H000J,DUAL MOTOR ACTUATOR-LBR,SP2B,,,,,LX812316A,201102,,,,40,L
EMDLBRF,HEX,HEX,12316A-818H000J,DUAL MOTOR ACTUATOR-LBR,SP2B,,,,,LX812316A,201103,,,,44.9,L
EMDLBRF,HEX,HEX,12316A-818H000J,DUAL MOTOR ACTUATOR-LBR,SP2B,,,,,LX812316A,201104,,,,40,L
EMDLBRF,HEX,HEX,12316A-818H000J,DUAL MOTOR ACTUATOR-LBR,SP2B,,,,,LX812316A,201105,,,,0,L
EMDLBRF,HEX,HEX,12316A-818H000J,DUAL MOTOR ACTUATOR-LBR,SP2B,,,,,LX812316A,201111,,,,0,L
EMDLBRF,HJA,HJX,123WTA-9G25,WING REDSN DETAIL DESIGN-LBR,SP2B,,,,,LX8123WTA,201111,,,,0,L
EMDLBRF,HDX,HDX,12330A-813H,WING TIP NAV- PCR 11562 NAV LIGHT SYSTEM,SP2B,,,,,LX812330A,201101,,,,14,L
EMDLBRF,HDX,HDX,12330A-813H,WING TIP NAV- PCR 11562 NAV LIGHT SYSTEM,SP2B,,,,,LX812330A,201102,,,,8.5,L
EMDLBRF,HDX,HDX,12330A-3J47,WING TIP NAV- PCR 11562 NAV LIGHT SYSTEM,SP2B,,,,,LX812330A,201101,,,,12.5,L
EMDLBRF,HDX,HDX,12330A-3J47,WING TIP NAV- PCR 11562 NAV LIGHT SYSTEM,SP2B,,,,,LX812330A,201102,,,,8,L
EMDLBRF,HEX,HEX,142-1JHEX3,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX3,201101,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX3,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX3,201102,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX3,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX3,201103,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX3,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX3,201104,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX3,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX3,201110,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX3,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX3,201201,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX3,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX3,201202,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX3,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX3,201203,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX3,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX3,201206,,,,70.7,L
EMDLBRF,HEX,HEX,142-1JHEX3,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX3,201207,,,,0,L
EMDLBRF,HBX,HBX,14280A-811H,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX814280A,201101,,,,23.8,L
EMDLBRF,HBX,HBX,14280A-811H,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX814280A,201102,,,,30,L
EMDLBRF,HBX,HBX,14280A-811H,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX814280A,201103,,,,0,L
EMDLBRF,HBX,HBX,14280A-811H,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX814280A,201105,,,,7,L
EMDLBRF,HBX,HBX,14280A-811H,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX814280A,201109,,,,66.8,L
EMDLBRF,HBX,HBX,14280A-811H,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX814280A,201110,,,,33.4,L
EMDLBRF,HBX,HBX,14280A-811H,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX814280A,201111,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201101,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201102,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201103,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201104,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201105,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201106,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201107,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201109,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201110,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201201,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201202,,,,10,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201203,,,,15,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201204,,,,20,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201205,,,,25,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201206,,,,122,L
EMDLBRF,HEX,HEX,142-1JHEX4,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX4,201207,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX2,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX2,201101,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX2,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX2,201102,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX2,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX2,201103,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX2,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX2,201104,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX2,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX2,201105,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX2,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX2,201106,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX2,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX2,201107,,,,54.31,L
EMDLBRF,HEX,HEX,142-1JHEX2,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX2,201108,,,,70,L
EMDLBRF,HEX,HEX,142-1JHEX2,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX2,201202,,,,100,L
EMDLBRF,HEX,HEX,142-1JHEX2,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX2,201203,,,,194.31,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201101,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201102,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201103,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201104,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201105,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201106,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201107,,,,91.35,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201108,,,,89.35,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201201,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201202,,,,200,L
EMDLBRF,HEX,HEX,142-1JHEX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHEX1,201203,,,,219.4,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201101,,,,0,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201102,,,,0,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201103,,,,0,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201104,,,,33.8,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201105,,,,17.5,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201106,,,,13,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201107,,,,0,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201109,,,,4,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201110,,,,80,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201111,,,,100,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201112,,,,103.5,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201201,,,,103.5,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201202,,,,145,L
EMDLBRF,HJX,HJX,142-1JHJX1,COMMS UPGRADE PH II- ASIP Data Rates,MOD,,,,,LX81JHJX1,201203,,,,129.5,L
EMDLBRF,HEX,HEX,142-1JHEX5,COMMS UPGRADE PH II-CR20785  ASIP DATA RATES IMPROVEMENT,MOD,,,,,LX81JHEX5,201107,,,,18,L
EMDLBRF,HEX,HEX,142-1JHEX5,COMMS UPGRADE PH II-CR20785  ASIP DATA RATES IMPROVEMENT,MOD,,,,,LX81JHEX5,201202,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX5,COMMS UPGRADE PH II-CR20785  ASIP DATA RATES IMPROVEMENT,MOD,,,,,LX81JHEX5,201203,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX5,COMMS UPGRADE PH II-CR20785  ASIP DATA RATES IMPROVEMENT,MOD,,,,,LX81JHEX5,201204,,,,18,L
EMDLBRF,HEX,HEX,142-1JHEX6,COMMS UPGRADE PH II-CR20785  ASIP DATA RATES IMPROVEMENT,MOD,,,,,LX81JHEX6,201107,,,,3,L
EMDLBRF,HEX,HEX,142-1JHEX6,COMMS UPGRADE PH II-CR20785  ASIP DATA RATES IMPROVEMENT,MOD,,,,,LX81JHEX6,201202,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX6,COMMS UPGRADE PH II-CR20785  ASIP DATA RATES IMPROVEMENT,MOD,,,,,LX81JHEX6,201203,,,,0,L
EMDLBRF,HEX,HEX,142-1JHEX6,COMMS UPGRADE PH II-CR20785  ASIP DATA RATES IMPROVEMENT,MOD,,,,,LX81JHEX6,201204,,,,3,L
EMDLBRF,HEX,HEX,14420A-3J48,INMARSAT EMC RAM PRODUCTIONIZATION,SP3,,,,,LX814420A,201101,,,,8.7,L
EMDLBRF,HEX,HEX,14420A-3J48,INMARSAT EMC RAM PRODUCTIONIZATION,SP3,,,,,LX814420A,201102,,,,8.7,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201102,,,,151.4769231,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201103,,,,189.3461538,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201104,,,,202.2569231,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201105,,,,100,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201106,,,,153.26,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201107,,,,53.3,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201108,,,,73,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201111,,,,0,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201202,,,,10,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201203,,,,20,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201204,,,,20,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201205,,,,20,L
EMDLBRF,HEX,HEX,153-1PHEX1,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX1,201206,,,,76.8,L
EMDLBRF,HBX,HBX,15326A-811H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201102,,,,7.3,L
EMDLBRF,HBX,HBX,15326A-811H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201103,,,,10,L
EMDLBRF,HBX,HBX,15326A-811H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201104,,,,42.3,L
EMDLBRF,HBX,HBX,15326A-811H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201105,,,,25.3,L
EMDLBRF,HBX,HBX,15326A-811H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201106,,,,13.5,L
EMDLBRF,HBX,HBX,15326A-811H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201107,,,,9.1,L
EMDLBRF,HBX,HBX,15326A-811H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201108,,,,11.7,L
EMDLBRF,HBX,HBX,15326A-811H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201109,,,,0,L
EMDLBRF,HEX,HEX,15326A-818H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201102,,,,160.3384615,L
EMDLBRF,HEX,HEX,15326A-818H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201103,,,,80.50307692,L
EMDLBRF,HEX,HEX,15326A-818H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201104,,,,160.2984615,L
EMDLBRF,HEX,HEX,15326A-818H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201105,,,,100,L
EMDLBRF,HEX,HEX,15326A-818H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201106,,,,21.5,L
EMDLBRF,HEX,HEX,15326A-818H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201107,,,,0,L
EMDLBRF,HEX,HEX,15326A-818H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201110,,,,0,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201102,,,,63.13846154,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201103,,,,78.92307692,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201104,,,,160.1784615,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201105,,,,67.52,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201106,,,,137.9,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201107,,,,37.9,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201108,,,,65,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201110,,,,137.9,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201202,,,,20,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201203,,,,20,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201204,,,,20,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201205,,,,20,L
EMDLBRF,HEX,HEX,153-1PHEX4,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX81PHEX4,201206,,,,58,L
EMDLBRF,HJX,HJX,15326A-819H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201102,,,,0,L
EMDLBRF,HJX,HJX,15326A-819H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201103,,,,150,L
EMDLBRF,HJX,HJX,15326A-819H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201104,,,,0,L
EMDLBRF,HJX,HJX,15326A-819H,25KVA GENERATOR OIL PRESSURE INSTRUMENTATION,MOD,,,,,LX815326A,201105,,,,0,L
EMDLBRF,HEX,HEX,15329A-814H,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX815329A,201104,,,,10,L
EMDLBRF,HEX,HEX,15329A-814H,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX815329A,201105,,,,104,L
EMDLBRF,HEX,HEX,15329A-814H,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX815329A,201106,,,,0,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201104,,,,10,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201105,,,,100,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201106,,,,10,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201107,,,,42,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201108,,,,82,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201109,,,,46,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201110,,,,69.5,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201111,,,,15,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201112,,,,7.5,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201201,,,,6.1,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201202,,,,12,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201203,,,,12,L
EMDLBRF,HEX,HEX,153-1PHEX2,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX2,201204,,,,12.4,L
EMDLBRF,HEX,HEX,153-1PHEX3,25kVA PT5 TRANSDUCER RE-SELECTION,MOD,,,,,LX81PHEX3,201104,,,,10,L
