//CFIN Home DCN,Dept Cost Descr,Site Descr,SCE,SCE Desc,Directorate
ST57DE,SpaceVehDsgnIntegr-2,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
D071EG,Radar & EW - WR,"Warner Robins, GA",WR,WR,Elec & Payloads
ST73ED,Test Engineering,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
L081BE,GH Vehicle 2,"San Diego, CA",712715,Software Engineering,Software Directorate
D071HA,Subsys Ctrl&Prcs-84,"Melbourne, FL",712705,Design Engineering,Elec & Payloads
L083DC,UCAS Development,"San Diego, CA",712830,Offsite Engineering,Software Directorate
ST54CG,Civ&Mil Systems ME,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L093HG,Test Design- RB,"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L071HI,LRS Avionics Systems,"Tinker AFB, OK",712830,Offsite Engineering,Elec & Payloads
Q081DL,IO/EA Mission Apps BP,"Hollywood, MD",712715,Software Engineering,Software Directorate
L094CG,Flt Test Eng- ATDC  772210,"Palmdale, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L071CB,Comm & Links - RB3,"San Diego, CA",712705,Design Engineering,Elec & Payloads
L092EJ,SSSD Ops S18 (AV),"Palmdale, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST56DC,L&A NSD,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
Q065LG,BM&ES Flt Anlys & GN&C E84-BO,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
ST68CG,Structures & Ant Mfg Eng,"Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
L065JN,"RB ECS, Fuel, Hyd & FP E30","San Diego, CA",712705,Design Engineering,Vehicle Engineering
Q071EA,Radar  SIGINT & EW-84,"Bethpage, NY",712705,Design Engineering,Elec & Payloads
D014CA,BMES Chief Engs,"Melbourne, FL",712725,Engineering Support,AE Leadership
Q042FC,EW/EA-6B-18G/NGJ/DST CDM,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
L067NC,UMS Struct Analysis E30-E,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST56DJ,Sys Test-Red Bch #2,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L094CJ,Flt Test Eng  F-35/ FS,"Patuxent River, MD",712830,Offsite Engineering,"Sys Integ, Test & Eval"
Q071CH,Com & Links - BP,"Bethpage, NY",712705,Design Engineering,Elec & Payloads
Q081DC,SW Int  Model & Sim,"Bethpage, NY",712715,Software Engineering,Software Directorate
Q067HA,SDU I Staff/IPT Leads E84,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
Q014CB,BMES CE #2,"Bethpage, NY",712725,Engineering Support,AE Leadership
Q057CD,ReqDefMgtVerfCAM PRB,"Camarillo, CA",PRB,PRB,Sys Eng Directorate
Q054CB,ME & Ops Analysis BP,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
D055DI,Sys Req Verif-Melb,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
Q081DD,SW Arch & Infrast,"Bethpage, NY",712715,Software Engineering,Software Directorate
Q071HH,Avionics Ctrl Sys-BP,"Bethpage, NY",712705,Design Engineering,Elec & Payloads
K058AC,SW Staff T1,"Bethpage, NY",NSCE,Indirect G&A ,Software Directorate
ST72DC,Digital Arch&Subsys,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
D064CU,Melbourne Prog IPT leads,"Melbourne, FL",712705,Design Engineering,Vehicle Engineering
D081CJ,JSTARS WR Onsite,"Warner Robins, GA",WR,WR,Software Directorate
Q067NF,Bethpage Struct Analysis E84,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
Q081DG,Comms & Network  0,"Bethpage, NY",712715,Software Engineering,Software Directorate
L065HB,Flight Control Tech,"Unknown City, CA",712705,Design Engineering,Vehicle Engineering
L065FH,Special Projs Flt Cntrl E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST72GH,1st Shift Test RF,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
Q014CD,BMES AEW CE #4,"Bethpage, NY",712725,Engineering Support,AE Leadership
L042HG,UMS Eng Plan,"San Diego, CA",712725,Engineering Support,Spec Eng & Prog Int
D071CI,Com & Links - MLB,"Melbourne, FL",712705,Design Engineering,Elec & Payloads
L082DA,Adv ProgSoftware,"Redondo Beach, CA",712715,Software Engineering,Software Directorate
Q071EE,Radar&EW - Bethpage,"Bethpage, NY",712705,Design Engineering,Elec & Payloads
Q092HF,BMES Test Eng S22 (BP),"Bethpage, NY",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L067HC,Maritime Sysm Struct Dsgn E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST73DG,Eqmt Support,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
Q065JJ,BPA ECS  Fuel  Hyd & FP E84,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
D058FJ,Mil&Civil Sys-Melb,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
Q042FB,AEW & BMC2 (SAMC) CDM,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
L071ED,Radar & EW - PMDL,"Palmdale, CA",712705,Design Engineering,Elec & Payloads
Q054CJ,Ops Analysis-Bethpg,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
Q081CD,BAMS Sim & Test,"Bethpage, NY",712715,Software Engineering,Software Directorate
L093DK,Inst Lab & Tech Support- ES,"El Segundo, CA",712730,Engineering Technicians,"Sys Integ, Test & Eval"
L092DK,SSSD Test Eng S9 (ES),"El Segundo, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST65FC,PL Pointng & LOS Cntrl,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L042HE,SB(F/A-18/35/AP&T) Pln 772130,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
Q056CJ,Sys Integr-Bethpage BP,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
Q044DG,BM&ES Mtls & Proc Eng,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
Q042FG,LCS/MPI CDM (BP),"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
Q054DH,Mod&Sim-Bethpage,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
Q055DC,Sys Req Verif-Beth1,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
Q064FC,Bethpage CHE & EPS Air,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
L045CC,EME & Vuln RB,"San Diego, CA",712725,Engineering Support,Spec Eng & Prog Int
L083DE,UCAS ES 2,"El Segundo, CA",712715,Software Engineering,Software Directorate
L056CO,Sys Integr-Rancho/Pd,"Palmdale, CA",712710,Systems Engineering,Sys Eng Directorate
ST63AA,Intg Veh Sys & Elect,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
Q044DC,Techincal Staff,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
Q044CE,Specs & Stds East Ops,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
Q081DE,AEW Mission Apps 0,"Bethpage, NY",712715,Software Engineering,Software Directorate
Q055CA,SysArchPerf & Algors,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
Q081DB,Strat Track & Fusion,"Bethpage, NY",712820,Field Engineering,Software Directorate
L094FG,Flt Ops TUMS & APT,"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L065FG,ISR GN&C E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
L064CR,"El Segundo C&E,E&L","Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
Q081CB,BAMS Leads and Supt,"Bethpage, NY",712715,Software Engineering,Software Directorate
Q057DF,Integr&MassProp-Beth,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
